Language,Default
Mn018_Assembly_61_Ida,"We've decided to give you the right to manage the camp's resources. Of course, there were some people who still feel that you couldn't be trusted, but the decision has been made and it is final."
Mn018_Assembly_62_Nar,"(Ida uploads some instructions to your Omniscope. After a while, it shows that it has been updated with new permissions.)"
Mn018_Assembly_63_Ida,You will be able to adjust the production and consumption of resources now. I have to reiterate that this is an extremely important responsibility.
Mn018_Assembly_64_Ida,"Speaking of which, I almost forgot! I need to talk to you about your nanobot's resistance. I can't be sure how much it can withstand. I've also updated your Omniscope so that you can check the contamination level of your current area."
Mn018_Assembly_65_Ida,"Well, I think that's it. I hope you come back safely. Good luck."
Mn018_Assembly_66_Lao,"What's your name again? Addison? We don't really know what's down there, so take some time to really prepare, but also please hurry; we don't have much time left in here."
Mn018_Assembly_67_Ida,"Lastly, if you find any useful information, such as what happened to the previous camp crews, let me know."
Mn018_Assembly_68_AI,[Camping Management] information and permission has been updated. You can check the camp UI by using the wheel menu or [O] key.
Mn019_PowerRelay_01_Nar,"(Upon entering the room, you see a large machine.)"
Mn019_PowerRelay_02_P,What is this...?
Mn019_PowerRelay_04_P,"This machine... It looks familiar... Cassini, can you scan it?"
Mn019_PowerRelay_06_AI,Scanning. Analyzing with the available data.
Mn019_PowerRelay_08_AI,"Analysis complete. This device is similar to a power relay device. Currently it is operational, but its output is minimal."
Mn019_PowerRelay_10_P,A power relay device... Perhaps this is why we were able to send power to this floor.
Mn019_PowerRelay_11_P,"Cassini, send this information to Ida."
Mn019_PowerRelay_12_AI,Sending information. Target: Ida... 
Mn019_PowerRelay_12_2_AI,Transfer complete.
Mn019_PowerRelay_13_Nar,"(After a short while, you receive some messages from Ida.)"
Mn019_PowerRelay_14_Ida,A power relay. Very interesting. I'm sure Litzi would like to hear this. I'll let her know. \n-From Ida-
Mn019_PowerRelay_15_P,"Another power relay device... but this one looks like it's not working... Cassini, scan this device."
Mn019_PowerRelay_18_AI,Scanning.
Mn019_PowerRelay_18_2_AI,Analysis complete. The device is not operational. Reason: Missing fuse.
Mn019_PowerRelay_19_P,"A fuse...? Maybe... Cassini, contact Ida."
Mn019_PowerRelay_20_AI,Establishing connection. Target: Ida
Mn019_PowerRelay_21_Ida,Hello there. What did you find?
Mn019_PowerRelay_22_P,"I found another power relay device. However, this one isn't working due to a missing fuse."
Mn019_PowerRelay_23_Ida,"Missing fuse...? Maybe... this is why we could not send power that far. If you find a spare fuse or even a broken one, you could make a request to get it researched."
Mn019_PowerRelay_24_P,Right.
Mn019_PowerRelay_25_Ida,Let me know if you find anything else. Come back safely.
Mn019_PowerRelay_26_Nar,(End of communication.)
Mn019_PowerRelay_27_P,I hope there's a spare fuse somewhere...
Mn019_PowerRelay_28_AI,A new message has arrived.
Mn019_PowerRelay_29_P,A message...? From who?
Mn019_PowerRelay_31_Litzi,"I finished researching the fuse you brought back. We can produce more if we have the necessary materials. If you install them into the power relay device, we should be able to send some power to that floor."
Mn019_PowerRelay_33_Litzi,"We still can't send full power, though. Our generator isn't capable of producing more than the absolute minimum necessary, but we should be able to power the elevators, at least."
Mn019_PowerRelay_34_AI,[Electric fuse] has been added to the crafting list.
Mn020_AirCirculator_01_P,"This device seems familiar... I think this is what I thought the power relay was. How does it work again?... Cassini, scan this device."
Mn020_AirCirculator_04_AI,Scanning. Analyzing with available data.
Mn020_AirCirculator_06_AI,Analysis complete. This device's primary function is air circulation. \nIt is not operational. Reason: Missing filter.
Mn020_AirCirculator_08_P,"Air circulation? If I can make this device work again, it could help with the oxygen flow? Maybe. Cassini, send this information to Ida."
Mn020_AirCirculator_09_AI,Sending information. Target: Ida...
Mn020_AirCirculator_09_2_AI,Transfer complete.
Mn020_AirCirculator_10_Nar,"(After a short while, you receive a message from Ida.)"
Mn020_AirCirculator_11_Ida,An air circulator. I'll talk to Judith and see what we can make out of it.\n-From Ida-
Mn020_AirCirculator_12_P,Another air circulator. I guess this device is in every area.
Mn020_AirCirculator_15_P,"This device seems to have a filter installed. Cassini, can I operate the device?"
Mn020_AirCirculator_16_AI,Scanning.
Mn020_AirCirculator_17_AI,Analysis completed. The device is not operational. Reason: Filter failure.
Mn020_AirCirculator_18_P,"A broken filter. Cassini, establish a connection to Ida."
Mn020_AirCirculator_19_AI,Establishing communication. Target: Ida
Mn020_AirCirculator_20_Ida,Hi there. I was just about to contact you. Good news: We have a plan to make use of the air circulator.
Mn020_AirCirculator_21_Ida,"I've analyzed the situation with Judith, and, while we can't use the circulator to pump the oxygen below, we believe we've found a way to suppress the nanobot contamination, if we alter the design and combine some nanobot technology I'm working on."
Mn020_AirCirculator_22_P,"Really? I found another air circulator, but it's not working because the filter is broken."
Mn020_AirCirculator_23_Ida,That's ok. Bring the broken filter back and ask Judith to research it. We should be able to make more filters that can slow down the nanobot contamination rise.
Mn020_AirCirculator_24_P,Got it.
Mn020_AirCirculator_25_Nar,(End of communication.)
Mn020_AirCirculator_26_P,It would be great if it actually can slow down the contamination rate. It looks like this device could be everywhere.
Mn020_AirCirculator_27_AI,A new message has arrived.
Mn020_AirCirculator_28_P,Message...? From who?
Mn020_AirCirculator_30_Judith,I've finished researching the new filter that can suppress the contamination rate. We can produce them if we have the materials.
Mn020_AirCirculator_31_AI,[Air filter] has been added to the crafting list.
First_Arrive_B01,It's hard to breathe... I think this area lacks oxygen...
Commu_Terminal_01_Option,<#FFFFFF>[ Terminal Options ]</color>
Commu_Terminal_02_S,[ Operate Communication Terminal ]
Commu_Terminal_02_S2,<#FFFFFF>[ Operate Communication Terminal ]</color>
Commu_Terminal_03_S,[ Communication History ]
Commu_Terminal_03_S2,<#FFFFFF>[ Communication History ]</color>
Commu_Terminal_04_S,[ Terminate ]
Commu_Terminal_05_Nar,(...)
Commu_Terminal_06_Nar,(There is no response.)
Commu_Terminal_07_S,1. Communication Log T.493.24.54 / 18:39
Commu_Terminal_08_S,2. Voice Recording T.493.24.55 / 11:34 [Restored Data]
Commu_Terminal_09_Control,"This is the control center. State your affiliation, location, and situation."
Commu_Terminal_10_Farm,"I'm Ever Gray, in charge of the farming operations at level B02. I'm stuck in the arcade in the park with several other people. Some, I don't know, monsters cornered us here and we need help now!"
Commu_Terminal_11_Control,"Ever Gray, we are unable to assist you at this time. We have our hands full down here. Survivors are gathering here so, if you can, come to the control center."
Commu_Terminal_12_Farm,The control center... on the 5th level? With those monsters out there? Are you nuts?!
Commu_Terminal_13_Control,"If you can't come to the control center, please wait until the situation is under control."
Commu_Terminal_14_Farm,We can't wait. There's barely any food here.
Commu_Terminal_15_Control,...
Commu_Terminal_16_Farm,Then when will this damn situation be resolved?
Commu_Terminal_17_Nar,"(The playback stops and, after a while, the screen only displays noise.)"
Commu_Terminal_18_P,...?
Commu_Terminal_19_S,1. (Tap the communication terminal several times.)
Commu_Terminal_20_Nar,(The screen lights up again with new text.)
Commu_Terminal_21_Ter,Restoring the system...
Commu_Terminal_22_Ter,Corrupted data found. Attempting recovery...
Commu_Terminal_23_Farm,Corrupted data.
Commu_Terminal_24_Farm,We have been abandoned... I'm slowly blacking out... I might forget the password to leave the room... The password is... 99...6...486.
Back_001,[ Back ]
Scene_Boss02_01_Nar,"(As you enter the room, you feel a chill run down your spine.)"
Scene_Boss02_02_P,...?
Scene_Boss02_03_P,...
ControlCen_ComMain_01_Option,<#FFFFFF>[ Terminal Options ]</color>
ControlCen_Computer_01_S01,[ Facility Control System ]
ControlCen_Computer_01_S02,[ Communication ]
ControlCen_Computer_01_S03,[ Saved Data ]
ControlCen_Computer_01_S04,[ Terminate ]
ControlCen_ComError_02_Option,<#FFFFFF>[ Facility Control System ]\n\nThis feature cannot be accessed at this time. Contact your local administrator to repair this feature.</color>
ControlCen_ComError_02_Option,<#FFFFFF>[ Communication ]\n\nThis feature cannot be accessed at this time. Contact your local administrator to repair this feature.</color>
ControlCen_Computer_03_Option,<#FFFFFF>[ Saved Data List]\n\n<Corrupted Data>\n- Communication Log T.493.24.53 / 15:26\n- Communication Log T.493.24.54 / 16:23\n- Voice Recording T.493.25.21 Log / 02:42\n...\n...\n...\n<Available Data>\nVoice Recording T.493.42.53 Log / 21:49
ControlCen_Computer_03_S01,Voice Recording T.493.42.53 Log / 21:49
ControlCen_Com_Data_01_Log,Author: Mark Miller / Position: TECC Huygen Camp Deputy Director\n\nThings couldn't be worse. We've lost contact with headquarters and there's nothing but bloody monsters outside. I can feel my focus slipping. I should've never agreed to come to Titan.</color>
ControlCen_Com_Data_02_Log,"If anyone is reading this, go to headquarters... It may be your only hope to get out of this accursed place. I don't know if you can still use the train at the station on level B07, but if not, perhaps the airship is still there."
ControlCen_Com_Data_03_Log,"There's no point hiding here. We're still not sure what happened, but it seems to be related to the nanobots in the atmosphere. It seems like they are affecting the underground mainly, but the hit was so sudden. We were completely unprepared. If you stay here, you'll turn into those things, just like everyone else..."
ControlCen_Com_Data_04_Log,"I hope you can make it to safety and get out of here. If you do, please tell my wife that I am sorry, and I love her."
ControlCen_Computer_00_Back,[ Back to the main terminal screen ]
