Language,Default
Shabby_Kitchen_Knife_Desc,"An old, rusty kitchen knife. Hopefully Alp hasn't been cooking with this. "
MakeShift_Reaper_NameKey,Makeshift Reaper
MakeShift_Reaper_DescKey,Some old blade that was improvised into a dagger.
Crowbar_NameKey,Crowbar
Crowbar_DescKey,"It looks a bit old, but it's still sturdy. "
Rusty_Long_Pipe_NameKey,Rusty long pipe
Rusty_Long_Pipe_DescKey,"Old and rusty, but still plenty usable. Usable for combat, that is; not really for water. "
MakeShift_Felling_Axe_NameKey,Makeshift Felling Axe
MakeShift_Felling_Axe_DescKey,"It is a large two-handed axe that can cut down trees, but it is used to cut down other than trees in the Subhounds camp."
Pickaxe_NameKey,Pickaxe
Pickaxe_DecsKey,A standard pickaxe that miners use. Having this around should make mining more efficient.
Blood_Extract_NameKey,Blood Extract
Blood_Extract_DescKey,A material that's been extracted from a creature's blood. It could be useful for producing something. 
Osseous_Extract_NameKey,Osseous Extract
Osseous_Extract_DescKey,A material that's been extracted from a creature's bones. It could be useful for producing something. 
Tissue_Extract_NameKey,Tissue Extract
Tissue_Extract_DescKey,A material that's been extracted from a creature's tissue. It could be useful for producing something. 
Shell_Extract_NameKey,Shell Extract
Shell_Extract_DescKey,A material that's been extracted from a creature's exoskeleton. It could be useful for producing something. 
Rat_Tail_NameKey,Tail of Rat
Rat_Tail_DescKey,It is the tail remains of Rat. You can't possibly eat this raw.
Methane_Fuel_NameKey,Methane Fuel
Methane_Fuel_DescKey,Essential methane fuel that's used to generate power at the camp's generator. 
Phytochemical_NameKey,Phytochemical
Phytochemical_DescKey,A chemical extracted from plants. It's used to treat Titan's natural water to make it safe for human consumption. 
Organic_Fertilizer_NameKey,Organic Fertilizer
Organic_Fertilizer_DescKey,An organic fertilizer that should be useful for producing food at the farm. 
Tent_001_NameKey,A-frame Tent
Tent_001_DescKey,"A tent that can offer sleep almost anywhere. It can't beat a decent bed, though. "
Power_Fuse_NameKey,Power Relay Fuse
Power_Fuse_DescKey,A fuse that allows power relays to transmit electricity.
Air_Filter_NameKey,Air Filter
Air_Filter_DescKey,A filter that makes the air circulators inhibit the spread of nanopollution.
Broken_Fuse_NameKey,Broken Fuse
Broken_Fuse_DescKey,A broken power relay fuse. 
Broken_AirFilter_NameKey,Broken Air Filter
Broken_AirFilter_DescKey,"A filter for air circulators, except it's broken. "
Election_NameKey,Electronics
Election_DescKey,"Some loose components from some broken electronics. Hopefully, the others know how to work with these. "
Fiber_NameKey,Fiber
Fiber_DescKey,"Scraps of cloth from old clothes and the like. They're hardly clean, but the camp can't exactly afford the luxury. "
Machine_NameKey,Machinery 
Machine_DescKey,Mechanical parts from some decrepit machines that the others can probably make use of. 
Metal_NameKey,Metal
Metal_DescKey,Rusty scraps of metal from useless old tools. They can surely be repurposed after a little derusting. 
Plastic_NameKey,Plastic
Plastic_DescKey,"Recycling is even more important when we're stranded on this rock. Even if someone can make more, how much power would it cost us? "
Wood_NameKey,Wood
Wood_DescKey,It's still hard to believe there are plants in Titan. Any usable wood is composited from various native plants. 
Junk_Election_Dummy,Broken Recorder 
Junk_Election_Dummy_Desc,Some sort of recording device. Both it and its records are broken beyond use.
Junk_Fiber_Dummy,Rags 
Junk_Fiber_Dummy_Desc,A pile of old
Junk_Machine_Dummy,Broken Sewing Machine 
Junk_Machine_Dummy_Desc,An old sewing machine that'll probably destroy any cloth that it sews.
Junk_Metal_Dummy,Rusty Metal
Junk_Metal_Dummy_Desc,It is a dummy Junk item that comes out with Metal when disassembled.
Junk_Plastic_Dummy,Crushed medicine bottle
Junk_Plastic_Dummy_Desc,It is a dummy Junk item that comes out with Plastic when disassembled.
Junk_Wood_Dummy,Planks 
Junk_Wood_Dummy_Desc,Torn and bent planks of wood that would probably give splinters before support.
Junk_1X1_F_001,Ragged Doll
Junk_1X1_F_002,Torn Doll
Junk_1X1_F_003,Lemilore Doll
Junk_1X1_F_004,Towel
Junk_1X1_F_005,Bedsheet
Junk_1X1_M_001,Rusty Thing
Junk_1X1_M_002,Rusted Metal
Junk_1X1_M_003,Dingy Dish
Junk_1X1_M_004,Bowl
Junk_1X1_M_005,Utensils
Junk_1X1_M_006,Cutlery
Junk_1X1_M_011,Padlock
Junk_1X1_M_012,Scissors
Junk_1X1_M_015,Razor
Junk_1X1_M_017,Bell
Junk_1X1_M_018,Hinge
Junk_1X1_M_019,Math Compass
Junk_1X1_M_020,Can
Junk_1X1_M_021,Mug
Junk_1X1_P_001,Crushed Water Bottle
Junk_1X1_P_002,Shampoo Bottle
Junk_1X1_P_003,Plastic Bottle
Junk_1X1_P_004,Lotion Bottle
Junk_1X1_P_005,Squeeze Bottle
Junk_1X1_P_006,Destroyed Cup
Junk_1X1_P_007,Comb
Junk_1X1_P_008,Tube
Junk_1X1_P_009,Crushed Bottle
Junk_1x2_M_001,Broken Blade
Junk_1x2_M_002,Broken Knife
Junk_1x2_M_003,Broken Cleaver
Junk_1x2_M_004,Spatula
Junk_1x2_M_005,Ladle
Junk_1x2_M_006,Tongs
Junk_1x2_M_007,Broken Wrench
Junk_1x2_M_008,Screwdriver
Junk_1x2_M_009,Vice Grip
Junk_1x2_M_010,Hacksaw
Junk_1x2_M_011,Destroyed Tool
Junk_1x2_M_012,Metal Sticks
Junk_1x2_M_013,Broken Tool
Junk_1x2_M_014,Spade
Junk_1x2_M_015,Metal Bottle
Junk_1X2_P_001,Crushed Water Bottle
Junk_1X2_P_002,Bottle
Junk_1X2_P_003,Plastic Casing
Junk_1X2_P_004,Shattered Container
Junk_1X2_P_005,Empty Bottle
Junk_1X2_P_006,Empty Container
Junk_2x1_M_001,Pan 
Junk_2x1_M_002,Large Bowl
Junk_2x1_M_003,Big Plate
Junk_2x1_M_004,Tray
Junk_2x2_F_001,Used Armor
Junk_2x2_F_002,Destroyed Shirt
Junk_2x2_F_003,Destroyed Coat
Junk_2x2_F_004,Destroyed Uniform
Junk_2x2_F_005,Destroyed Boots
Junk_2x2_F_006,Destroyed Shoes
Junk_2x2_F_007,Destroyed Gloves
Junk_2x2_F_008,Destroyed Hand Warmers
Junk_2x2_F_009,Destroyed Mitts
Junk_2x2_F_010,Unfashionable Hand Clothes
Junk_2x2_F_011,Destroyed Fingerless Gloves
Junk_2x2_F_012,Degloved Gloves
Junk_2x2_F_013,Worn and Torn Gloves
Junk_2x2_F_014,Very Used Gloves
Junk_2x2_F_015,Destroyed Cap
Junk_2x2_F_016,Weathered Hat
Junk_2x2_F_017,Chewed Cap
Junk_2x2_F_018,Used Cap
Junk_2x2_F_019,Worn Hoodie
Junk_2x2_F_020,Old Hoodie
Junk_2x2_M_001,Saucepan
Junk_2x2_M_003,Pot
Junk_2x3_F_001,Fire Extinguisher 
Junk_2x3_M_001,Bathrobe 
Junk_1X1_F_001_Desc,A poor plushie that's probably seen more than it wanted to.
Junk_1X1_F_002_Desc,An old toy that looks like it got a lot of use when it was new.
Junk_1X1_F_003_Desc,
Junk_1X1_F_004_Desc,"A dirty, torn towel. It's probably not a good idea to try cleaning with it."
Junk_1X1_F_005_Desc,"An old bedsheet. It's not very damaged, but no idea how sanitary it is."
Junk_1X1_M_001_Desc,Some sort of rusty object. It's somewhat hard to tell what it even was originally.
Junk_1X1_M_002_Desc,"A handful of rusty, metallic objects that probably can't even serve their original purposes anymore."
Junk_1X1_M_003_Desc,A nasty old plate that's likely impossible to really clean anymore.
Junk_1X1_M_004_Desc,A dented and damaged bowl that barely looks usable.
Junk_1X1_M_005_Desc,A bunch of rusty and damaged utensils that look ready to fall apart at any moment.
Junk_1X1_M_006_Desc,Some horribly deteriorated cutlery that's completely unusable for eating or combat.
Junk_1X1_M_011_Desc,"A degraded padlock that's been broken off. With all of the tools around the camp, it probably wouldn't help much, anyway."
Junk_1X1_M_012_Desc,A pair of destroyed scissors. They don't even look like they were originally sharp.
Junk_1X1_M_015_Desc,"An old, rusty razor that would probably cut off more skin than hair."
Junk_1X1_M_017_Desc,A very old-fashioned-looking bell that's rusted completely through. What was this even used for around here?
Junk_1X1_M_018_Desc,"A broken and rusty hinge. Given the situation, can't blame it for breaking like this."
Junk_1X1_M_019_Desc,"A bent compass that's used for math things. Well, was used; it's not very useful for that anymore."
Junk_1X1_M_020_Desc,An opened metal can so old that the smell of rust completely overpowers whatever food scent there might be.
Junk_1X1_M_021_Desc,A cracked mug. The edges almost look sharp enough to use as a weapon. Almost.
Junk_1X1_P_001_Desc,"Empty and destroyed, this water bottle looks like it got run over countless times."
Junk_1X1_P_002_Desc,A smashed and destroyed bottle that looks like it might have once held shampoo or something like it.
Junk_1X1_P_003_Desc,An old bottle that's so damaged and deteriorated that it's hard to tell what it originally held.
Junk_1X1_P_004_Desc,"An absolutely demolished bottle. Some small details make it look like a lotion bottle, but that doesn't matter since it's empty."
Junk_1X1_P_005_Desc,"It looks like one of those plastic bottles that you squeeze to drink from, except this one would break apart if you squeeze it."
Junk_1X1_P_006_Desc,A strangely destroyed cup. It almost looks like it was shredded by claws.
Junk_1X1_P_007_Desc,"Dusty combs and other hair products. They look pretty usable, but now doesn't seem like the time."
Junk_1X1_P_008_Desc,"A degraded circular container of some sort. Probably a tube? Well, it's hardly usable now, anyway."
Junk_1X1_P_009_Desc,
Junk_1x2_M_001_Desc,"A chipped old blade. It kind of looks like it'd still hurt, but it's probably best not to test that."
Junk_1x2_M_002_Desc,"A pointless kitchen knife, except for the blade that's going to end up as scrap metal."
Junk_1x2_M_003_Desc,A fractured kitchen cleaver that looks ready to fall apart at the slightest hint of force.
Junk_1x2_M_004_Desc,A bent and broken spatula. It can barely even handle its own weight at this point.
Junk_1x2_M_005_Desc,"Parts of what seem to have been a ladle, before the rust and age tore it apart."
Junk_1x2_M_006_Desc,Completely destroyed tongs that don't even have the ends anymore. At least there's still plenty of metal to recycle.
Junk_1x2_M_007_Desc,"Arguably, this wrench isn't very damaged, but it's missing a pretty important part for wrenching things."
Junk_1x2_M_008_Desc,A screwdriver that almost looks like something took a bite out of its handle.
Junk_1x2_M_009_Desc,"A very rusty vice grip. It's not very damaged, but it still can't grip nearly as well as it originally could."
Junk_1x2_M_010_Desc,"An old hacksaw that's barely damaged, but all that damage is in the most important area."
Junk_1x2_M_011_Desc,The handle of some tool... maybe a hand saw? There's so little of it left that it's hard to tell what it was.
Junk_1x2_M_012_Desc,"A bundle of rusty jigsaw blades. No sign of the other parts, unfortunately."
Junk_1x2_M_013_Desc,"Broken, rusty tool parts. These could be drill extensions, but they're rusted beyond recognition."
Junk_1x2_M_014_Desc,"An ancient trowel, dating back to somewhere between days ago and centuries ago."
Junk_1x2_M_015_Desc,"An empty, crushed, rusty metal bottle, or some sort of container. It's definitely beyond usability."
Junk_1X2_P_001_Desc,"This bottle really got trampled by... something. It's a shame that it's empty, but the camp's situation isn't that bad yet."
Junk_1X2_P_002_Desc,"Some sort of bottle, but the label is nowhere to be seen. Whatever it is, it's empty, but there's still plastic to harvest."
Junk_1X2_P_003_Desc,Plastic casing of sorts with some scraps of wire still in it. The wire is very much severed and useless as is.
Junk_1X2_P_004_Desc,A cylindrical container that looks like it shattered... but it also somewhat looks like it was cut?
Junk_1X2_P_005_Desc,"An empty plastic bottle with an illegible label, but it's in decent condition otherwise."
Junk_1X2_P_006_Desc,Some sort of empty container. The label is too smudged to make out anything.
Junk_2x1_M_001_Desc,A destroyed pan that's definitely not going to see anymore use.
Junk_2x1_M_002_Desc,A decently large metal bowl
Junk_2x1_M_003_Desc,A pretty big metal plate. There's no way anyone is going to use it as a plate ever again.
Junk_2x1_M_004_Desc,Some sort of metal tray. There's too much rust and decay to really tell what it was originally used for.
Junk_2x2_F_001_Desc,Armor that's become too damaged to be very useful. Recycling it into new armor is probably for the best.
Junk_2x2_F_002_Desc,"A nice, tidy, white shirt that's been ravaged by the experience of living on this rock."
Junk_2x2_F_003_Desc,A blue coat that looks it might have looked pretty nice if it weren't torn to shreds.
Junk_2x2_F_004_Desc,"A heavily damaged miner's uniform. Looks it did its job pretty well, at least."
Junk_2x2_F_005_Desc,Armored boots that have been torn apart so that they're barely usable.
Junk_2x2_F_006_Desc,A simple pair of brown shoes that have been used a little too much.
Junk_2x2_F_007_Desc,Some standard gloves that have gone through some wear and tear. Mostly tear.
Junk_2x2_F_008_Desc,Destroyed gloves. Just recycle them.
Junk_2x2_F_009_Desc,"A pair of orange mittens, but with a big hole in a place that shouldn't have a big hole."
Junk_2x2_F_010_Desc,Some lightly damaged gloves. They're too thin to offer anything useful
Junk_2x2_F_011_Desc,A pair of fingerless gloves that are missing more than just the fingers now.
Junk_2x2_F_012_Desc,"Very damaged gloves, but they probably weren't very helpful before the damage, anyway."
Junk_2x2_F_013_Desc,Some defensive gloves that have defended too much. Now they must retire.
Junk_2x2_F_014_Desc,Some plain white gloves that seem to have been used often. Can't say for what.
Junk_2x2_F_015_Desc,"A plain black cap, except that half of the head is gone. Hopefully it wasn't being worn when that happened."
Junk_2x2_F_016_Desc,"An old fisherman's hat. Someone must have liked it, since there's nothing to fish for here."
Junk_2x2_F_017_Desc,A tattered cap that almost looks like it's been savagely chewed on.
Junk_2x2_F_018_Desc,"A pastel cap with some superficial damage. It's not very sturdy, regardless."
Junk_2x2_F_019_Desc,A simple hoodie that's been torn in places
Junk_2x2_F_020_Desc,Old clothes. Nothing special.
Junk_2x2_M_001_Desc,A decrepit saucepan that will never see another stovetop.
Junk_2x2_M_003_Desc,"A destroyed pot, covered in rust and falling apart."
Junk_2x3_F_001_Desc,A dirty and torn-up bathrobe. Doubt anyone will want to use this.
Junk_2x3_M_001_Desc,"An unfortunately empty fire extinguisher. The container is damaged enough that refilling it is probably out of the question, too. "
MakeShift_Sword,Rusty Sword
Standard_Sword,Straight Sword
Improved_Sword,Sharp Sword
Prototype_Sword,Experimental Sword
Advanced_Sword,Magical-Looking Sword of Preposterous Power
MakeShift_Club,Duct-Taped Club
Standard_Club,Wooden Club
Improved_Club,Spiked Club
Prototype_Club,Experimental Club
Advanced_Club,High-Tech-Looking Bludgeon of Painful Dent-Making
MakeShift_Axe,Stick with Sharp Metal
Standard_Axe,Chopping Axe
Improved_Axe,Sharp Axe
Prototype_Axe,Experimental Axe
Advanced_Axe,Super Sharp Slicer of Halving Anything
MakeShift_Hammer,Stick with Blunt Metal
Standard_Hammer,Hammer
Improved_Hammer,Mallet
Prototype_Hammer,Experimental Hammer
Advanced_Hammer,Very Heavy and Hard-Hitting Hammer of Harm
MakeShift_Pistol,Handmade Pistol
Standard_Pistol,Old-Fashioned Pistol
Improved_Pistol,Modern Pistol
Prototype_Pistol,Experimental Pistol
Advanced_Pistol,High-Power Futuristic Pistol
MakeShift_Rifle,Handmade Rifle
Standard_Rifle,Standard Rifle
Improved_Rifle,High-Powered Rifle
Prototype_Rifle,Experimental Rifle
Advanced_Rifle,Sharpshooter's Security For Sustained Survival
MakeShift_Bow,Loose Bow
Standard_Bow,Standard Bow
Improved_Bow,Sturdy Bow
Prototype_Bow,Experimental Bow
Advanced_Bow,Ridiculously Powerful and Accurate Arrow Shooter
MakeShift_Shield,Flimsy Shield
Standard_Shield,Standard Shield
Improved_Shield,Sturdy Shield
Prototype_Shield,Experimental Shield
Advanced_Shield,Incredibly Sturdy Shield of Legendary Survivability
MakeShift_Sword_Desc,"It may be rusty, but you still wouldn't want to be on the other end of it, especially if you're not wearing armor."
Standard_Sword_Desc,"An old-fashioned sword, now with 95% less rust and 40% more flesh-slicing."
Improved_Sword_Desc,"A new-looking sword with an actual hilt, which will help since this thing actually looks sharp."
Prototype_Sword_Desc,"Judith tried improving the sword with some energy or something, but it looks like She's still experimenting."
Advanced_Sword_Desc,"No idea how Judith made this, but it almost looks like even most armor couldn't stop this thing."
MakeShift_Club_Desc,The camp must be really deprived to consider this a weapon.
Standard_Club_Desc,No duct tape on this one. Maybe it can actually break through some armor.
Improved_Club_Desc,"A good old-fashioned bludgeoner, complete with metal spikes on its end to make it harder to clean."
Prototype_Club_Desc,An experimental bludgeon that Judith is working on. It almost looks too heavy to even wield.
Advanced_Club_Desc,The finished project of Judith and a force to be reckoned with. It looks like it could flip a tank if it wanted to.
MakeShift_Axe_Desc,"Sharp metal tied firmly to the end of a strong stick. A long, long time ago, this could've been the work of a genius."
Standard_Axe_Desc,"Sharp metal on a stick, perfect for chopping through unarmored enemies."
Improved_Axe_Desc,Sharper metal on a stick. Judith really outdid Herself with this one.
Prototype_Axe_Desc,"Judith thinks that extra kinetic energy can be applied with this new stuff? Not sure, but it looks like it'll hurt anything that gets hit."
Advanced_Axe_Desc,"An axe with so much high-tech nonsense that it looks like it could cut anything in half, like a bargain shop salesman."
MakeShift_Hammer_Desc,A blunt rock tied very firmly to the end of a strong stick. It's incredible that the rock doesn't come loose.
Standard_Hammer_Desc,A blunt hunk of metal on a stick. A swing of this should dent just about any armor.
Improved_Hammer_Desc,A hammer with a flattened head because physics. A man in the middle of nowhere once threatened me with something like this.
Prototype_Hammer_Desc,An unrefined experiment that tries to do science magic to hurt things more.
Advanced_Hammer_Desc,This hammer uses the magic of science and physics to annihilate armored opposition.
MakeShift_Pistol_Desc,A crude pistol that resembles the pistols from the era of bows. The lack of camp supplies and time resulted in a shoddy job that probably has no right to work.
Standard_Pistol_Desc,"An old-timey pistol, but made with a little more care and structure."
Improved_Pistol_Desc,"A more modern-looking pistol, complete with the red laser sight to improve aim."
Prototype_Pistol_Desc,"A futuristic-looking pistol with a bunch of experimental extensions. No idea what any of the experiments do, but at least the laser sight is still there."
Advanced_Pistol_Desc,"A fancy pistol that looks like it came from the future. Except it still uses bullets, so not that far into the future. It still packs a serious punch, though."
MakeShift_Rifle_Desc,"Apparently, a rifle that was stitched together from junk. It's a miracle that it works at all."
Standard_Rifle_Desc,A much more standardized rifle. It's pretty well-made and seems as good as any other rifle.
Improved_Rifle_Desc,"A standard rifle with some notable improvements to its design, mostly to the power."
Prototype_Rifle_Desc,A rifle with some very experimental changes. It's... probably... not going to blow up randomly.
Advanced_Rifle_Desc,"After refining the experimental changes, this rifle is so advanced that it feels like it could fight for itself if the trigger wasn't still there."
MakeShift_Bow_Desc,A handmade bow with a lot of room for improvement. Arrows not included.
Standard_Bow_Desc,"A standard-looking bow. At least, it looks like the kind in medieval media, so it's probably pretty good."
Improved_Bow_Desc,An improvement on the standard bow that should allow for stronger shots.
Prototype_Bow_Desc,A bow with a bunch of experimental accessories that look completely alien. Hopefully they work as intended.
Advanced_Bow_Desc,"A bow with even more accessories, but they actually work and make it even more dangerous. Hopefully the arrows can take at least one shot."
MakeShift_Shield_Desc,A tattered wooden board with a few sheets of metal still hanging on. It still holds up alright.
Standard_Shield_Desc,A refurbished sheet of metal that should block most hits pretty well without falling apart.
Improved_Shield_Desc,"A sturdier shield that resembles a riot shield, and is probably just as tough to get through."
Prototype_Shield_Desc,A shield with some experimental... things... on it that make the shield... probably better?
Advanced_Shield_Desc,"No idea what was done to this shield, but it seems tougher than some of the walls around here."
Sword_MakeShift_BluePrint,Blueprint : Rusty Sword
Club_MakeShift_BluePrint,Blueprint : Duct-Taped Club
Axe_MakeShift_BluePrint,Blueprint : Stick with Sharp Rock
Hammer_MakeShift_BluePrint,Blueprint : Stick with Blunt Rock
Shield_MakeShift_BluePrint,Blueprint : Flimsy Shield
Bow_MakeShift_BluePrint,Blueprint : Loose Bow
Pistol_MakeShift_BluePrint,Blueprint : Handmade Pistol
Rifle_MakeShift_BluePrint,Blueprint : Handmade Rifle
Head_MakeShift_BluePrint,Blueprint : Battered Helmet
Body_MakeShift_BluePrint,Blueprint : Old Body Armor
Hand_MakeShift_BluePrint,Blueprint : Used Gloves
Foot_MakeShift_BluePrint,Blueprint : Combat Boots
Sword_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Rusty Swords can be produced."
Club_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Duct-Taped Clubs can be produced."
Axe_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Sticks with Sharp Rocks can be produced. Can't believe they need a blueprint of this..."
Hammer_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Sticks with Blunt Rocks can be produced. Can't believe they need a blueprint of this..."
Shield_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Flimsy Shields can be produced."
Bow_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Loose Bows can be produced."
Pistol_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Handmade Pistol can be produced."
Rifle_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Handmade Rifle can be produced."
Head_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Battered Helmet can be produced."
Body_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Old Body Armor can be produced."
Hand_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Used Gloves can be produced."
Foot_MakeShift_BluePrint_Desc,"If this blueprint is researched, then Combat Boots can be produced."
MakeShift_Head,Battered Helmet
Standard_Head,Damaged Face Shield
Improved_Head,Armored Helmet
Prototype_Head,Experimental Helmet
Advanced_Head,Very Dense Head Armor of Headbutting Hardness
MakeShift_Body,Old Body Armor
Standard_Body,Military Grade Armor
Improved_Body,Extra-Armored Armor
Prototype_Body,Experimental Armor
Advanced_Body,Supremely Durable Exoskeleton That Protects Your Endoskeleton
MakeShift_Hand,Used Gloves
Standard_Hand,Military Grade Gloves
Improved_Hand,Armored Gloves
Prototype_Hand,Experimental Gloves
Advanced_Hand,Gauntlets of Fortified Fingers
MakeShift_Foot,Combat Boots
Standard_Foot,Military Grade Boots
Improved_Foot,Reinforced Boots
Prototype_Foot,Experimental Boots
Advanced_Foot,Remarkably Comfy and Fashionable Footwear
MakeShift_Head_Desc,"An old, dirty helmet, probably a bicycler's helmet. It should still offer a little protection."
Standard_Head_Desc,"A cracked face shield and helmet combo. It'll still help, especially if anything aims for the eyes."
Improved_Head_Desc,"A newly-made headpiece that protects as much of the wearer's head as possible, since the head is pretty important."
Prototype_Head_Desc,Protective headwear with some extra-protective features. It looks like something from a sci-fi movie or game.
Advanced_Head_Desc,"A very comfy and very, very hard piece of head armor. It's probably hard enough to make headbutting a real option, but I'd rather not."
MakeShift_Body_Desc,"A set of body armor that's seen some use, but it's still a lot better than nothing."
Standard_Body_Desc,A decent set of armor. It should at least stop actual clothes from being torn.
Improved_Body_Desc,"Standard armor with a little extra padding and protection, so you can keep fighting the good fight."
Prototype_Body_Desc,"Standard armor with nonstandard additions. No idea what they do, but hopefully they're helpful and not dangerous."
Advanced_Body_Desc,It seems those experimental additions were fine-tuned. This armor feels like it could stop a bulldozer.
MakeShift_Hand_Desc,A pair of old military grade gloves that have seen their fair share of wear and tear.
Standard_Hand_Desc,A newer pair of military grade gloves that should help protect delicate fingers.
Improved_Hand_Desc,Improved gloves that can actually take a few hits.
