Language,Default
FirstTalk_Isko_02_Isko,Do you need something?
FirstTalk_Isko_03_P,Can you tell me more about this camp?
FirstTalk_Isko_04_Isko,"Well, you already know that this is Huygen Camp and that we're on Titan, one of the moons of Saturn. We're pretty far from headquarters. I'm Isko, by the way, and I... uh, take care of the camp's medical needs."
FirstTalk_Isko_05_P,Oh? It seemed like Ida is supposed to be head of Medical.
FirstTalk_Isko_06_Isko,"Yes, she is. In title, at least. She's left just about all of the responsibilities to me so that she can do her own thing."
FirstTalk_Isko_07_P,What do you mean? What is she doing?
FirstTalk_Isko_08_Isko,"Well, she doesn't make it that obvious, but I know her well enough. She didn't come here to be a small-town medic. She wants to find out what happened to the previous settlers here. You should've seen her face when she found you, hehe. Anyway, I mainly tend to the ill miners while she does that, but I sometimes make some medical items for the others, too."
FirstTalk_Isko_09_P,What happened to the miners?
FirstTalk_Isko_10_Isko,"I'm not sure, but soon after the mining operations resumed, every miner that went underground became sick. Most of them are in the sick bay right now, although some of them were... beyond our help. We still don't know how to cure them, so the mine has been closed. That's a whole problem in itself, since we got a lot of supplies from the mine. Without supplies from either the mine or headquarters, we won't last long here."
FirstTalk_Isko_11_P,What? Headquarters isn't providing any support?
FirstTalk_Isko_12_Isko,"That's right. I don't know what happened, but we've lost contact with headquarters. That's all that I know, though. You'll have to ask the others for more details."
FirstTalk_Tau_01_P,Hello.
FirstTalk_Tau_02_Tau,Huh? Who're you?
FirstTalk_Tau_03_P,"My name is Addison Thorpe. Ida recently pulled me out of hibernation, so I'm trying to get a grip on the new situation."
FirstTalk_Tau_04_Tau,"Oh, so you're what Ida was so damn fascinated with. Well, you're in Tau Mogorosi's Mine now."
FirstTalk_Tau_05_P,Mine? It's quieter than I expected a mine to be.
FirstTalk_Tau_06_Tau,"Yeah, well, we're... The mine is closed right now, alright?! All my miners refuse to go down there after a few of them got sick. Bunch'a lazy bastards. It's just rocks and resources, no different from Earth or Mars! Resources that I'm not getting!"
FirstTalk_Tau_07_P,They got sick... from the mine? What are they sick with?
FirstTalk_Tau_08_Tau,"Do I look like a doctor? I have no idea, but Ida says she doesn't, either! I'd bet they're all fine over there, laughing at how much their laziness is costing me. At least I can still charge people to recycle their crap here, but that's nothing compared to the mine."
FirstTalk_Lao_01_P,Hello.
FirstTalk_Lao_02_Lao,Hello there! I was wondering when you'd get here.
FirstTalk_Lao_03_P,You were expecting me?
FirstTalk_Lao_04_Lao,"Yes, of course! I've heard plenty about you. You need to keep an ear to the ground to survive around here, know what I mean? I'm sure you have a ton of questions, so let me introduce myself. I'm Gin Lao, and I run Huygen Camp's residential quarter. I make the place as nice and comfy as possible for a reasonably low price, as a little favor to everyone in the camp."
FirstTalk_Lao_05_P,A... favor?
FirstTalk_Lao_06_Lao,"Yes. It's not cheap to run this place, of course; I'm practically in the red. But that's not important when so many people need a good night's sleep."
FirstTalk_Lao_07_P,W-wait... in the red?
FirstTalk_Lao_08_Lao,"Yeah. You know, losing money. Oh my goodness, you should've seen this place when the mine had to close. This camp would've collapsed long ago if I hadn't invented my credit system. In a situation like this, it's good to go back to the basics. It's simple, but it's a transparent local currency system, so that everyone gets their fair share if they contribute. Of course, you're no exception, my friend."
FirstTalk_David_01_P,Hello.
FirstTalk_David_02_David,Hey.
FirstTalk_David_03_P,"...Uh, I'm Addison Thorpe, that hibernating person."
FirstTalk_David_04_David,"Oh, alright."
FirstTalk_David_05_P,...I'm trying to get familiar with the camp since I'm kind of new. Do you mind telling me about yourself and what you do here?
FirstTalk_David_06_David,"Oh, sure. I'm David, I run the Supply Depot here, as well as the permissions to the production line. There's a lot of space here, so you can use it to store things, too, use that storage box on the right there."
FirstTalk_David_07_P,"Production line permission? Could I get that, too?"
FirstTalk_David_08_David,"Oh yeah, I guess I should do that. After I set you up, you can access the camp's production line through your Omniscope. If the request requires materials, then just toss the materials into the storage box."
FirstTalk_David_09_P,Thanks!
FirstTalk_Wof_01_P,Hello.
FirstTalk_Wof_02_Wolf,"Oh? Who are you?... Ah, you are the person that Ida was working on, right? I am Wolf and I maintain this holy place."
FirstTalk_Wof_03_P,I'm Addison Thorpe. Holy place? This doesn't look like much of a church to me.
FirstTalk_Wof_04_Wolf,"Aha, not that kind. This is a well of life, where I remove all of the dangers in the water so that we can actually use it. Science helps with that, so that I know what chemicals to use. Let me know if you need some, by the way, not that they'll be free."
FirstTalk_Wof_05_P,"Chemicals, huh? Is the local water that dangerous?"
FirstTalk_Wof_06_Wolf,"I definitely wouldn't drink it if I were you, we've noticed it corroding one of our buildings. It doesn't help that I'm running out of chemicals to purify the water with and Seoyeon is asking for even more water. I understand that a farm needs water but with how limited the supply is I have to make sure that no one is left out!"
S001_Awaken_01_Nar,"(You drift aimlessly through the dark expanse. You cannot feel nor hear; the movement that you appear to be seeing in the distance is indistinct, and subtle. Every moment feels circular, leading back to the last. Your thoughts are disjointed, separated.)"
S001_Awaken_01_Nar2,"(As you attempt to recollect how you got here, you have an epiphany: you've had an epiphany about this exact thought in the past.)"
S001_Awaken_01_Nar3,"(You discover the concept of sound once again, as an overpowering whirring enters your ears. A jolt, and then a pulse, you begin to feel the beat in your core.)"
S001_Awaken_01_Nar4,"(The face you've forgotten everything about regains sensation, and something forcibly detaches from it. You begin to regain your vision. You somehow manage to utter a word.)"
S001_Awaken_02_P,...W...w-where...?
S001_Awaken_03_Nar,"(The metal around you reverberates. The machine hisses and ejects vapor as the container opens, the air feels warm to your skin as it floods into your vessel. A woman looks on with concern.)"
S001_Awaken_04_Ida,...H-Hey! Are you... are you alive?
S001_Awaken_05_P,...W-Where...?
S001_Awaken_06_Ida,"You are in Camp Huygen, Titan, of course. Hopefully that's not a surprise. This is our clinic, and you, my friend, have just been awoken from stasis."
S001_Awaken_07_Ida,"I know this is sudden, and you probably got questions of your own, but can you try moving? We need to do a neural diagnostic and then get you connected for some biometrics."
S001_Awaken_08_Nar,"(You try to move, but your limbs feel unresponsive and weak. You try again, in earnest, though you probably shouldn't have. You hardly twitch your arm. The pain washes over you.)"
S001_Awaken_09_P,...N-Not really. It hur-
S001_Awaken_10_Nar,"(The pain sweeps in, the tide ever rising, overwhelming your sense of self.)"
S001_Awaken_11_Nar,"(You catch a glimpse of the woman, mouth agape, as she backs away and frantically panics, her eyes darting around the room. The sound of her footsteps sound like they are echoing into a distance you cannot see.)"
S001_Awaken_12_Ida,Isko?! ISKO!! Get over here!
S001_Awaken_13_Nar,"(The beat of someone's footsteps overlaps with the ones in your core, shortly before ceasing. Your vision is instantly robbed from you. You feel your back and shoulders sink past the confines of your body; you begin to drift, and the feeling is oddly familiar. You have an epiphany: you've had an epiphany before.)"
S001_Awaken_14_Nar,"(The pain evaporates. You quietly tumble into the darkness, leaving yourself behind.)"
S001_Awaken_15_Nar,"(Voices call out, urgent, chaotic. They roll across the horizon, brushing against what passes for consciousness. After eons, they calm, their song losing tempo. The pulse in your body weakly rises on its own, your core jostles just slightly with each heartbeat.)"
S001_Awaken_16_Ida,"Phew... that was... well, too close. Can you hear me? Are you able to move now?"
S001_Awaken_17_Nar,"(The pain has subsided. You are lucid, but your body still feels weak. You try to move and fail to accomplish much, but it doesn't hurt like before.)"
S001_Awaken_18_P,"Not really. I'm weak, but I'm not in pain."
S001_Awaken_19_Ida,"Excellent! the lack of pain, I mean. Listen: I know you probably have questions of your own, but we're grasping at straws here. Do you remember why you were put in stasis? Anything at all? We don't understand what happened here."
S001_Awaken_20_P,"I... no. My name is Addison Thorpe. What do you mean, 'We don't understand?'"
S001_Awaken_21_Ida,"Hello... Addison. I'm Dr. Shahane, though everyone just calls me Ida. You were placed in stasis improperly, which doesn't make a lot of sense unless it was some sort of emergency."
S001_Awaken_22_Ida,"We came across your pod, but it has no markings, no logs, no metadata. We don't know when you went cold, or if you even are involved with TECC, and there's nobody left to ask."
S001_Awaken_23_P,...What? What do you mean? Are you two not with TECC?
S001_Awaken_24_Ida,"There's no sugarcoating it: Isko, myself and many others are part of the TECC's second mining operation. Your team disappeared about 7 years ago. We don't really kn-"
S001_Awaken_25_Nar,"(She continues to speak, but you can't help but panic, trying to remember events that just aren't there to recall. You reel your mind, replaying your days leading up to joining TECC, and preparing for the journey to Titan. You blurt out the only thing you can clearly recant in the middle of Ida's explanation.)"
S001_Awaken_26_P,I remember working at a steam well!
S001_Awaken_27_Nar,(Ida's frustration is palpable. She clears her throat and resumes.)
S001_Awaken_28_Ida,"As I first surmised, it seems you didn't get out of this scatheless. They didn't cool you down properly before putting you on ice, so there's no telling what may have happened to your mind, or anything else in your body, for that matter. We can only hope you can regain your memory at this point..."
S001_Awaken_29_Ida,"On that note, we may as well focus on solvable problems. Even if you can't remember much right now, we could still use your help. We're hardly managing here, and there's only a few dozen of us."
S001_Awaken_30_Ida,"...Please tell me you remember what an Omniscope is, or we'll be here a while. We're going to have to get yours back online."
S001_Awaken_31_P,"Uh... oh! Yeah. I did have one, how did you know?"
S001_Awaken_32_Ida,"They sort of just tossed you in this pod, and as durable as they are, it looks like the SoC on yours didn't appreciate coming along for the ride. It uh... lit on fire when we turned it on. We gotta fix this and link you back up."
S001_Awaken_33_P,You can fix that?
S001_Awaken_34_Ida,"Well, 'replace' is a better word; your lenses are fine, thankfully, so we're just going to sync you to a new unit. It's kind of old, but it's the only working spare we got. You know how to use it, right? Or did that get iced out, too?"
S001_Awaken_35_P,I think I can remember the basics.
S001_Awaken_36_Nar,"(The Omniscope is a multi-function embedded information device. The device is two parts: wireless lenses that are inserted into the eyes via surgery, and a remotely-linked AI unit. It can be used to communicate, read maps, or analyze objects.)"
S001_Awaken_37_Ida,Good. Let's get this over with. Isko! You finish wiping that spare controller?
S001_Awaken_38_Isko,Yup! Here you go.
S001_Awaken_39_Nar,"(Isko hands the controller unit and transmitter to Ida. She hardly inspects the transmitter's wafer, keeping her attention focused on you.)"
S001_Awaken_40_Ida,"You ready to start? On second thought: don't answer that. You're a sitting duck without this, and I'd hate for you to rise from your grave just to jump back in it. Permanently. Hold still and we'll begin."
S001_Awaken_41_Nar,"(You relax on the table, expecting to be put under, but instead Ida palms the back of your head. You feel your skull produce a thin object, as if it were ejecting from your skin. Another one is threaded into the previous resident's burrow and takes its place.)"
S001_Awaken_42_Nar,"(Your vision is augmented. The scope begins to display information in your natural vision, though the text appears soft. The text in your field of view noticeably shudders for a moment before becoming legible.)"
S001_Tutorial_01_AI,<color=TUTORIAL>Omniscope ID 24601. Starting Boot Sequence...</color>
S001_Tutorial_02_AI,"<color=TUTORIAL>Hello, I'm Cassini, AI assistant of Omniscope ID 24601. The Omniscope boot sequence is successful.</color>"
S001_Tutorial_03_AI,<color=TUTORIAL>Detected damaged memory area. Please wait a moment while I attempt to recover the memory.</color>
S001_Tutorial_04_Nar,(The image of the AI on the screen soon disappears. Ida talks to confirm that the device is active.)
Tutorial_Omniscope_01,<color=TUTORIAL>Omniscope's memory has been recovered. You may check the functionality of the Omniscope through the <color=IMPORTANT0>[Tab]</color> key.</color>
S001_Awaken_43_Ida,"Well, how is it? These things are backward compatible, but I'm guessing it's been a while since you've had a lens update? Should be fine enough, though. We popped out your old transmitter since it's pair won't be coming back up any time soon."
S001_Awaken_44_P,It was fuzzy for a sec but seems like it's working.
S001_Awaken_45_Ida,"Great, 'cause there isn't another one. Don't go getting frozen again, alright?"
S001_Awaken_46_P,"...wait, where'd you get this one from?"
S001_Awaken_47_Ida,"Oh... you know. Don't worry, Isko wiped it, ran some tests on it, and we cleaned the transmitter *real* good. Only a couple hundred hours of use on the AI unit, it's practically new!"
S001_Awaken_48_Ida,"Oh, looks like you're feeling better! Want to give moving around a try again? It'd be nice if we could get some clothes on you. No offense. Behind the screen, next to the sinks, there's a box with a spare change of clothes. *Please*... help yourself."
Mn001_Equipment_01_Ida,"What the hell?! Was it routine for the first team to run around in their skivvies?! Fortunately for you there's been a few years of terraforming, but I think you should put on some clothes regardless."
Mn001_Equipment_02_Ida,"There. Much better, don't 'cha think?"
Mn001_Equipment_03_Ida,"I bet you're famished after all this, I mean, you were dead and died and are currently now 'not dead'. You should have something, anyway. Soup, some bread, something."
Mn001_Equipment_04_Ida,"The Omniscope should point you to the right direction of the pub. Go find Alp-huge mustachio guy, loves meeting people and has run out of those weeks ago."
Mn002_Alp_01_Alp,...!
Mn002_Alp_02_Alp,"Do my eyes deceive me? Are you the person from the pod they've been trying to wake up? Oh? My manners, they have left me!"
Mn002_Alp_03_Alp,"*clears throat* Welcome, my new friend, to the pub of Camp Huygen! My name is Alp, and this, this is my humble Pub."
Mn002_Alp_04_Nar,(Your stomach growls audibly.)
Mn002_Alp_05_P,"Well, you've met my stomach, and I'm Addison. Ida said I should get something to eat."
Mn002_Alp_06_Alp,"Oh! My manners, please pardon me-we don't have much, but I can get you something that was left over."
Mn002_Alp_07_Nar,"(Alp flits about the shelves, pulling out a small container. From it, he produces a bit of bread and a bottle.)"
Mn002_Alp_08_Alp,"You can have this, it's not much, but it will keep the hunger at bay, and somebody paid for it earlier."
Mn002_Alp_09_Nar,(Alp hands you the bread and a water bottle.)
Mn002_Alp_10_Alp,"I uh, hope you do not mind, but my curiosity... I can't contain it."
Mn002_Alp_11_Alp,I heard your pod was found at another camp. Is that true? Where are you from?
Mn002_Alp_12_P,"I'm sorry, I don't remember much. Ida said that they didn't put me into stasis properly. I worked at a steam well, but I don't remember much at all."
Mn002_Alp_13_Alp,"Really?! A steam well? Many of those are still running, I thought they were automated! What about other people? We know so little, aside from what we found left behind, but we were told they were smart, talented! But somehow? truly? Not one person remains, besides you, that is."
Mn002_Alp_14_Alp,"...Don't worry, I do not think you could hide here for weeks and survive unnoticed, I trust you."
Mn002_Alp_15_P,"Uh, thanks."
Mn002_Alp_16_Alp,"TECC made it sound like this would be a rescue mission... seven years later. Seems silly, but how would we know there would be no trace?"
Mn002_Alp_17_P,"Sorry, I wish I could give any insight."
Mn002_Alp_18_Alp,"What irony, we woke you up to learn, but instead we must teach... sorry. My frustrations aren't because of you. You're waking up to a very poor situation, to put it lightly."
Mn002_Alp_19_P,...what's going on?
Mn002_Alp_20_Alp,"Something's happened to the resettlement mission. Our camp is one of many, and the plan for the group heading to the central one, 'Headquarters', was supposed to be to establish contact to connect all the camps. It's been weeks. The only spaceport on Titan is there, and without it we have no chance of getting back home."
Mn002_Alp_21_P,"They've disappeared, too? Was there a backup plan if the spaceport was damaged, or inoperable?"
Mn002_Alp_22_Alp,"No idea. We have survived this long, and we have come into contact with other mining camps, but they are all in the same shape we are. If there was a backup plan, only the main group knew of it."
Mn002_Alp_23_Alp,"We're running low on supplies, and while we all have our own problems, if we don't improve things soon none of us are going to survive."
Mn002_Alp_24_Alp,"...I should get back to work, but it would be wise if you got rest after all this. Go find Lao, the resident administrator, so you can rent a room. I don't know how life was before, but some people, even as we slowly fall apart, are still here only to make money."
Mn005_Lao_01_P,"I need a place to rest, Alp said to find you."
Mn005_Lao_02_Lao,"Oh, I see. I just so happen to have a single room available freshly cleaned and inspected minutes ago. Are you interested in leasing?"
Mn005_Lao_03_P,"Leasing? I was in a stasis pod. I don't have any money, but it sounds like the camp could use all the help it can get. Can't we work something out?"
Mn005_Lao_04_Lao,"Nice try. You're right, to be fair; the camp is in trouble. However, if we're going to survive we need some semblance of an economy. This way, everyone puts in their fair share of work."
Mn005_Lao_05_P,"Well... where can I get money, then? Sounds like you probably already have a lot if everyone's paying you."
Mn005_Lao_06_Lao,"I take part in many transactions. There are several others in camp that render essential services that I pay for, and that they, in turn, pay others for. It's the system that I came up with: a credit system."
Mn005_Lao_07_Lao,"In short: if you lack credit, you'll lack everything else. It's true, though... you hopped out of a pod, and we do need help. This is... a one-time situation for the entire camp. One moment."
Mn005_Lao_08_Nar,"(Lao walks over to his desk and opens a drawer, drawing a keycard from its contents. He walks toward you, holding it up, pointing to it with the other hand.)"
Mn005_Lao_09_Lao,"This was hi-ahem-is *your* keycard. Originally, it's a key card only for those who pay credit, but I'll give it to you in particular because you just woke up from stasis. You too will have to pay Credit soon though. If you don't, I'll suspend the card."
Mn005_Lao_10_Nar,(He hands you the keycard.)
Mn005_Lao_11_Nar,(Lao motions you to follow him as he leaves the room.)
Mn005_Lao_12_Lao,"Here it is. Remember: You'll have to pay credit if you want to keep using the room. Go ahead, walk up to the door and use it."
Mn005_Lao_13_Nar,(The door's bright red lights appear to be indicating that it is locked.)
Mn005_Lao_14_Nar,(You're exhausted. It's time to rest.)
Mn005_Lao_15_Nar,(The night is spent absorbing the events of the day.)
Mn005_Lao_16_P,<i>...What a mess...</i>
Mn005_Lao_17_P,<i>First things first: money. Not going to get far without it. Even in a place like this...</i>
Mn005_Lao_18_Nar,"(The silence embraces you, somehow ushering you to sleep despite all that's happened.)"
Mn005_Lao_19_Nar,(...)
Mn005_Lao_20_Nar,"(You dream. It's a sunny day in the badlands, but the weather is cool. You rest your hands on a handrail; paint chips flake off and stick to them. A cold front, harboring a blizzard, threatens in the distance.)"
Mn005_Lao_21_Nar,(You wake up abruptly.)
Mn005_Lao_22_P,No sense in delaying the inevitable. I should see if anyone has work they need help with.
Mn005_Lao_23_P,Time to get some shut-eye.
Mn007_Get_Job_01_P,I uh... I know I need to work; you wouldn't happen to need any help would you?
Mn007_Get_Job_02_Alp,"Well... there's one thing, not really 'work', for most people. Charlie has been departed for some time... so we have a little problem since I'm so busy."
Mn007_Get_Job_03_P,What kind of problem?
Mn007_Get_Job_04_Alp,"I have an... ongoing vermin problem. These rats aren't like the ones back home, they are unsettling and aggressive. The guards won't help, and Charlie was the only one willing to do the work needed to keep them out of our stockpile."
Mn007_Get_Job_05_Alp,"I don't know if they breed quickly or if there's a nest, but there's a bunch of them now and they've cut me off from the storage room. There's probably not much left, I need to get in there and secure the room once and for all."
Mn007_Get_Job_A01_P,I'll go take care of the rats.
Mn007_Get_Job_A02_Alp,"Great, thank you! Do you have anything to defend yourself with? I am not joking! These rats are dangerous."
Mn007_Get_Job_A03_P,"No, I don't."
Mn007_Get_Job_A04_Alp,"Here is some equipment that you can use. They aren't terribly useful to me, but if you need more of them, you may be able to get them from the Camp shop by the Supply Depot."
Mn007_Get_Job_A05_Nar,(Alp hands over a few items.)
Mn007_Get_Job_B01_P,I'll think about it.
Mn007_Get_Job_06_Alp,"All right, then get rid of the rats in the storage room and bring me their tails as proof."
Mn008_Slay_Rat_01_P,"I got rid of them all. You weren't kidding, there were a lot of them."
Mn008_Slay_Rat_02_Alp,"That was quick, thank you! I'll take care of the rest. Here's some credits for the trouble, and here, I'm sure you could use a pick-me-up after that."
Mn008_Slay_Rat_03_Nar,"(Alp gives you some food, drink and credits.)"
Mn008_Slay_Rat_031_Alp,"I don't have much but if you bring credit you can buy my food and water. Oh, and if you're hurt somewhere, you should visit Isko. He sells medical supplies."
Mn008_Slay_Rat_032_AI,<color=TUTORIAL>A deal with Alp and Isko has been activated.</color>
Mn008_Slay_Rat_04_Alp,I have something a little more difficult if you're interested. It'll pay a bit more since there's something to recover this time.
Mn008_Slay_Rat_05_P,I'll take what I can get at this rate.
Mn008_Slay_Rat_06_Alp,"There's a cave to the northeast that a few people have explored before. One of the samples they brought back was a mushroom that, after testing and sampling, we found was nutritious and pretty tasty."
Mn008_Slay_Rat_A01_P,Mushroom? I haven't had any in a while...
Mn008_Slay_Rat_A02_Alp,"You want to eat mushrooms, don't you? That's great! I'll be waiting for you, so please hurry up and go, I'm looking forward to it! I think I already smell the mushrooms baking!"
Mn008_Slay_Rat_A03_P,......
Mn008_Slay_Rat_A04_Alp,"Oh, and this will help you to dig up the mushrooms."
Mn008_Slay_Rat_A05_Nar,(You have obtained a 'Makeshift Reaper'.)
Mn008_Slay_Rat_A06_Nar,"Nobody appreciates the taste of this mushroom dish... everyone always wants meat, but we lost communication with headquarters, so where am I supposed to get it?"
Mn008_Slay_Rat_B01_P,"I'm sorry, I'm a little busy right now."
Mn009_Mushroom_01_P,"Hey, Alp. I got those mushrooms you wanted."
Mn009_Mushroom_02_Alp,"Oh, how I've looked forward to this... I hope it wasn't too difficult, here's your pay! And a bonus: have this now and compare it to what I'll be making later!"
Mn009_Mushroom_03_Nar,(Alp gives you some food and credits.)
Mn009_Mushroom_04_P,Thank you! Do you have anything else you need?
Mn009_Mushroom_05_Alp,"No, you took care of my backlog. Litzi, though, was complaining about being shorthanded earlier. Might be worth a trip to the power generator to see if she has any work for you."
Mn009_Mushroom_06_P,Power generator?
Mn009_Mushroom_07_Alp,"It's the building to the northwest of the hub with the funnel on it, all our power is produced there. She's normally on B2. Use your Omniscope if you get lost."
Mn009_Mushroom_08_Alp,"Well then, my friend, good luck! Be sure to come back if you're hungry, I'll be working on some new dishes."
Mn010_Generator_Litzi_01_P,Alp said you could use a hand?
Mn010_Generator_Litzi_02_Litzi,"Oh, you caught on quick! Already looking for work, huh? Yeah, I need someone to check out a cave. Have you been outside the camp yet?"
Mn010_Generator_Litzi_03_P,"Yeah, Alp had me go check a cave out."
Mn010_Generator_Litzi_04_Litzi,"Oh no... did he get you to scrounge for some? Damn, the pub's going to reek! I hate mushrooms! Anyway, that same cave has some white methane ore I need. I'll pay you to collect some."
Mn010_Generator_Litzi_05_P,Cave? You want me to dig out ore out of that cave? It didn't look like it was explored.
Mn010_Generator_Litzi_06_Litzi,"You'd be right, but the mine's having a problem that nobody's really discussing. However, this generator's falling apart, and it won't be long before it fails on us. Without it, we're pretty screwed."
Mn010_Generator_Litzi_07_Litzi,"Nobody's really taking me seriously, they're all too busy dealing with their own problems, but if I can't get some materials soon I won't be able to keep the generator online. This camp's not going to last long without power, you along with us. I'll pay. Will you go?"
Mn010_Generator_Litzi_08_P,Sounds pretty important. I'll do it.
Mn010_Generator_Litzi_09_P,I can't just yet. I'll be back.
Mn010_Generator_Litzi_10_Litzi,Thank you. If I can get this generator in decent shape I'll be able to relax a bit.
Mn010_Generator_Litzi_11_Litzi,"Here, take this pickaxe. Kind of old school, I know, but we're sort of lacking here. It'll get the job done at least."
Mn010_Generator_Litzi_12_Nar,(Litzi gives you a pickaxe.)
Mn010_Generator_Litzi_13_Nar,"Oh, and if you happen to encounter a snail in the cave, can you try to extract some slime from it and bring some to me? I am kinda running out of lubricant for the machines and I think that might help."
Mn011_Minerals01_01_P,I brought the ore.
Mn011_Minerals01_02_Litzi,"Finally, some progress around here. Thank you, here you go. And take this, too; I don't need it and you really helped me out."
Mn011_Minerals01_03_Nar,(She gives you equipment and credits.)
Mn011_Minerals01_04_P,"I'm assuming there's more to do, considering what you've been saying?"
Mn011_Minerals01_05_Litzi,"No, I will take it from here. Thank you very much. Oh, and if you happen to obtain more snail slime, bring it to me any time. I'll buy it at a good price. It is probably my only source of lubricant after all."
Mn011_Minerals01_06_Litzi,"Hold on. Come to think of it, Judith came looking for you when she heard that you went to the cave at my request. You should ask her what she wants."
Mn011_Minerals01_07_P,Okay.
Mn009_JudithWant_01_P,Were you looking for me?
