Language,Default
Tutorial003_10_Wolf,"And if you have enough credit, I can sell things I have."
Tutorial003_11_AI,The trading function of the running wolf ear has been activated.
Tutorial004_01_P,I was told to go to you for production rights.
Tutorial004_02_David,"Oh, come to think of it, the camp needed access to request production. I've never given the others new access, so I forgot, but I was in authority of them. Haha... what's your Omniscope ID?"
Tutorial004_03_P,uh...It's 24601.
Tutorial004_04_David,wait... I will update the authority first and let you know how to use it.
Tutorial004_05_Nar,(Information about the production of the item is sent to Omniscope.)
Tutorial004_06_AI,"<color=TUTORIAL>Information on [Research, craft, Recycling] of the Huygen Camp has been updated. </color>"
Tutorial004_07_AI,"<color=TUTORIAL>You can put things in a personal storage in a supply facility and request to research, manufacture, and decompose items. </color>"
Tutorial004_08_AI,"<color=TUTORIAL>For more information, see [Journal - Cassini - Production.]</color>"
Tutorial004_09_David,New information would have been updated. I'll explain it to you.
Tutorial004_10_David,"Based on the items you put in the storage, [research, craft, recycling] items will be displayed. What kind of warehouse is it? It's like a big box on the right when you come into the supply station, but if you're not sure, there's information in the journal, so check it out."
Tutorial004_11_David,"There are separate workers depending on the type of product, and if you pay a reasonable price, they will proceed."
Tutorial004_12_David,"Oh, and most items can be recycled, so it would be okay to take the junk apart while walking around the camp."
Tutorial004_13_David,"Well, good luck! I sincerely hope you are doing well in this camp."

UITutorial_001_01,This is just a test text to see if everything is working alright.
UITutorial_001_02,This is another just a test text to see if everything is working alright.

Hud_UI_Tutorial_HP,"<color=#47C6CF>[HP Gauge]</color>\nA gauge indicating your current HP.\nIf your HP reaches zero, you will die. Keep an eye on it."
Hud_UI_Tutorial_Trait,<color=#47C6CF>[Character Condition]</color>\nThere is a variety of conditions that may affect you.\nThese conditions have many sources and varied effects.
Hud_UI_Tutorial_TimeArea,<color=#47C6CF>[Area & Time]</color>\nDisplays information about the current area and time.\nThe area's oxygen content is also displayed. It needs to be more than 70% for you to breathe comfortably.
Hud_UI_Tutorial_Map,"<color=#47C6CF>[Mini Map]</color>\nThe mini map displays your immediate surroundings, including points of interest."
Hud_UI_Tutorial_OmniScope,"<color=#47C6CF>[Omniscope Button]</color>\nYou can check out the various functions of the Omniscope, like Perks and Stats, through this button."
Hud_UI_Tutorial_Adrenaline,<color=#47C6CF>[Adrenaline Gauge]</color>\nA gauge indicating your current adrenaline.\nConsumed when using body-related perks.
Hud_UI_Tutorial_Nano,<color=#47C6CF>[Nano Gauge]</color>\nA gauge indicating your current nanobot count.\nConsumed when using nano-related perks.
Hud_UI_Tutorial_Slot,"<color=#47C6CF>[Item & Perk Slot]</color>\nYou can register items or perks to the slots below,\nallowing you to use them from that slot."
Hud_UI_Tutorial_Equipment,"<color=#47C6CF>[Equipment Item Information]</color>\nYour current equipment is displayed here, color-coded based on its current durability (if applicable)."
Hud_UI_Tutorial_Oxygen,<color=#47C6CF>[Oxygen item]</color>\nDisplays information about your portable oxygen.\nYou can see the remainder of the oxygen in your equipped canister.
Hud_UI_Tutorial_Lamp,<color=#47C6CF>[Lamp & Battery]</color>\nDisplays information about your lamp and battery.\nYou can check your remaining battery and if the lamp is on.
Hud_UI_Tutorial_Durablity,"<color=#47C6CF>[Equipment Durability]</color>\nDisplays information about your equipped weapons and equipment, including their durability."
Hud_UI_Tutorial_Ammo,<color=#47C6CF>[Weapon & Ammo]</color>\nDisplays information about the equipped weapon and any loaded ammo.
Hud_UI_Tutorial_TurnSkip,"<color=#47C6CF>[Skip Turn]</color>\nPressing this button, or the Spacebar on your keyboard, will skip your turn."

Journal_NPC,<color=#47C6CF>[Journal : Character]</color>\nDisplays information about the people that you've met so far.
Journal_QuestList,<color=#47C6CF>[Quest List]</color>\nDisplays a list of quests\nrelated to the selected character.
Journal_QuestContents,<color=#47C6CF>[Quest Description]</color>\nDisplays the details of the selected quest.

Camp_ResourceAmount,<color=#47C6CF>[Resource Amount]</color>\nDisplays the amount of resources\nthat the camp currently has available.
Camp_ResourceDistribution,<color=#47C6CF>[Resource Distribution]</color>\nYou can adjust the distribution\nand rationing of the camp's resources.
Camp_Resource_Invasion,<color=#47C6CF>[Invasion]</color>\nShows how many turns are left until the invading enemies reach your camp.
Camp_Resource_Basement,"<color=#47C6CF>[Underground Power Step & Infection]</color>\nYou can adjust the amount of power sent to the underground area,\nand monitor the level of infection in there."

Inventory_Equipment,<color=#47C6CF>[Equipment slot]</color>\nDrag an item into its corresponding slot here to equip it.
Inventory_Credit,<color=#47C6CF>[Current Credit]</color>\nDisplays how much currency you currently have.
Inventory_Bag,<color=#47C6CF>[Inventory slot]</color>\nOne of many slots that can hold an item for you.

Map_UI_01_Sector,"<color=#47C6CF>[Sector]</color>\nDisplays information about a sector, which contains multiple areas."
Map_UI_02_Level,<color=#47C6CF>[Area]</color>\nDisplays information\nabout the areas in sector.
Map_UI_03_Tile,<color=#47C6CF>[Area Information]</color>\nDisplays a detailed map of the selected area.

Perk_UI_Proficiency,"<color=#47C6CF>[Perk Proficiency]</color>\nEach Perk belongs to a specific Proficiency.\nPracticing a Proficiency will help you improve it, allowing you to increase related stats or unlock new Perks."
Perk_UI_List,<color=#47C6CF>[Perk List]</color>\nDisplays the available\nPerks of the selected Proficiency.
Perk_UI_Point,<color=#47C6CF>[Perk Point]</color>\nDisplays how many Perk Points you currently have.\nPerk Points can be spent on unlocking or improving Perks.
Perk_UI_Desc,<color=#47C6CF>[Perk Information]</color>\nDisplays detailed information about the selected Perk.

ChaStat_UI_Upper,"<color=#47C6CF>[Basic Information]</color>\nDisplays your character's name, level, and exp until your next level."
ChaStat_UI_Under,<color=#47C6CF>[Stats]</color>\nDisplays your character's stats.

Task_UI_SelectOption,"<color=#47C6CF>[Working item]</color>\nSelect the work you want to request.\nThere is Research, Production and Recycling work."
Task_UI_ItemList,[<color=#47C6CF>[List of Work]</color>\nThis is a list of the work that can be performed on the items\nin your personal storage (located in the Supply Depot).\nRequesting work costs credits.
Task_UI_Contents,"<color=#47C6CF>[Work detail]</color>\nDisplays the required materials and credits\nfor the selected work, and its results."
Task_UI_Que,<color=#47C6CF>[Work queue]</color>\nThe queue of work requests and what is currently in progress.

Hud_UI_Tutorial_Start_01,"Hello, I'm Cassini, the AI that controls Omniscope 24601. Beginning guidance for Omniscope device."
Hud_UI_Tutorial_End_01,"If you are confused about something, look for the <sprite name=Help_Mark> button nearby for more information.\nThis concludes your tour of your Omniscope."

Event_UI_NanoGauge,<color=#47C6CF>[Nano Activation]</color>\nYour body's nanobots have been activated.\nYou can see your nanobot gauge below.\nNanobot gauge is consumed when a nanobot-related Perk is used.
Event_UI_Task_01,<color=#47C6CF>[Item Production Function Activation]</color>\nItem production authority has been granted to this device.\nYou can pay credits and materials to commission a camp member to produce an item.\n(Shortcut : N)
Event_UI_Task_02,"<color=#47C6CF>[Item Production Function Activation]</color>\nYou can request research, Craft, and Recycling through the Work UI.\nPay materials and credits and ask for work from the appropriate character in the camp."
Event_UI_Task_03,<color=#47C6CF>[Item Production Function Activation]</color>\nRequired material for crafting an item is drawn from the personal storage in the supply depot.\nWhen the work on an item is done it's put into personal storage.
Event_UI_CampManagement,<color=#47C6CF>[Activation Camp Management]</color>\nCamp management authority has been granted to this device.\nYou can allocate resources to each building in the Camp UI.
